latitude,longitude,timestamp,animal_id
48.724361,2.329134,2009-04-26 09:05:38,touristParis
48.724638,2.32993,2009-04-26 09:05:39,touristParis
48.724917,2.330702,2009-04-26 09:05:40,touristParis
48.725181,2.331473,2009-04-26 09:05:41,touristParis
48.725447,2.33221,2009-04-26 09:05:42,touristParis
48.725706,2.332929,2009-04-26 09:05:43,touristParis
48.725954,2.333632,2009-04-26 09:05:44,touristParis
48.726204,2.334312,2009-04-26 09:05:45,touristParis
48.726453,2.334976,2009-04-26 09:05:46,touristParis
48.726697,2.335628,2009-04-26 09:05:47,touristParis
48.726926,2.33626,2009-04-26 09:05:48,touristParis
48.727148,2.336894,2009-04-26 09:05:49,touristParis
48.727374,2.337496,2009-04-26 09:05:50,touristParis
48.727584,2.338075,2009-04-26 09:05:51,touristParis
48.727777,2.338626,2009-04-26 09:05:52,touristParis
48.727959,2.339149,2009-04-26 09:05:53,touristParis
48.728148,2.339653,2009-04-26 09:05:54,touristParis
48.728324,2.340123,2009-04-26 09:05:55,touristParis
48.728494,2.34056,2009-04-26 09:05:56,touristParis
48.728651,2.340967,2009-04-26 09:05:57,touristParis
48.7288,2.341356,2009-04-26 09:05:58,touristParis
48.728925,2.341721,2009-04-26 09:05:59,touristParis
48.729038,2.342064,2009-04-26 09:06:00,touristParis
48.729153,2.342385,2009-04-26 09:06:01,touristParis
48.729269,2.342685,2009-04-26 09:06:02,touristParis
48.729371,2.342981,2009-04-26 09:06:03,touristParis
48.729471,2.343251,2009-04-26 09:06:04,touristParis
48.72956,2.34351,2009-04-26 09:06:05,touristParis
48.729666,2.343763,2009-04-26 09:06:06,touristParis
48.729746,2.344004,2009-04-26 09:06:07,touristParis
48.729822,2.344231,2009-04-26 09:06:08,touristParis
48.7299,2.344454,2009-04-26 09:06:09,touristParis
48.729974,2.344667,2009-04-26 09:06:10,touristParis
48.730036,2.344872,2009-04-26 09:06:11,touristParis
48.730082,2.345073,2009-04-26 09:06:12,touristParis
48.730119,2.345265,2009-04-26 09:06:13,touristParis
48.730143,2.345456,2009-04-26 09:06:14,touristParis
48.730165,2.345645,2009-04-26 09:06:15,touristParis
48.730185,2.345837,2009-04-26 09:06:16,touristParis
48.730202,2.346026,2009-04-26 09:06:17,touristParis
48.730203,2.34621,2009-04-26 09:06:18,touristParis
48.730205,2.346389,2009-04-26 09:06:19,touristParis
48.730214,2.346556,2009-04-26 09:06:20,touristParis
48.730217,2.346714,2009-04-26 09:06:21,touristParis
48.730226,2.346874,2009-04-26 09:06:22,touristParis
48.730237,2.347024,2009-04-26 09:06:23,touristParis
48.730252,2.347172,2009-04-26 09:06:24,touristParis
48.730263,2.34732,2009-04-26 09:06:25,touristParis
48.730276,2.347464,2009-04-26 09:06:26,touristParis
48.730287,2.347612,2009-04-26 09:06:27,touristParis
48.730299,2.347769,2009-04-26 09:06:28,touristParis
48.73031,2.347932,2009-04-26 09:06:29,touristParis
48.730319,2.348092,2009-04-26 09:06:30,touristParis
48.73033,2.348241,2009-04-26 09:06:31,touristParis
48.730336,2.348527,2009-04-26 09:06:33,touristParis
48.730343,2.348664,2009-04-26 09:06:34,touristParis
48.730353,2.348805,2009-04-26 09:06:35,touristParis
48.730379,2.349072,2009-04-26 09:06:37,touristParis
48.730401,2.349336,2009-04-26 09:06:39,touristParis
48.730414,2.349575,2009-04-26 09:06:41,touristParis
48.730432,2.349784,2009-04-26 09:06:43,touristParis
48.730453,2.349974,2009-04-26 09:06:45,touristParis
48.730469,2.350126,2009-04-26 09:06:47,touristParis
48.730474,2.350273,2009-04-26 09:06:49,touristParis
48.730475,2.350461,2009-04-26 09:06:52,touristParis
48.730489,2.350609,2009-04-26 09:06:55,touristParis
48.730505,2.350753,2009-04-26 09:06:58,touristParis
48.730496,2.350879,2009-04-26 09:07:02,touristParis
48.730488,2.350936,2009-04-26 09:07:07,touristParis
48.730494,2.350959,2009-04-26 09:07:12,touristParis
48.7305,2.350985,2009-04-26 09:07:17,touristParis
48.730503,2.351028,2009-04-26 09:07:22,touristParis
48.730484,2.351103,2009-04-26 09:07:27,touristParis
48.730464,2.351234,2009-04-26 09:07:32,touristParis
48.730465,2.351393,2009-04-26 09:07:37,touristParis
48.730439,2.351549,2009-04-26 09:07:41,touristParis
48.730418,2.351691,2009-04-26 09:07:44,touristParis
48.730384,2.351842,2009-04-26 09:07:47,touristParis
48.730356,2.35202,2009-04-26 09:07:50,touristParis
48.730325,2.352147,2009-04-26 09:07:52,touristParis
48.730284,2.352275,2009-04-26 09:07:54,touristParis
48.730243,2.352461,2009-04-26 09:07:57,touristParis
48.730219,2.352655,2009-04-26 09:08:00,touristParis
48.730212,2.352822,2009-04-26 09:08:02,touristParis
48.730204,2.35299,2009-04-26 09:08:04,touristParis
48.730209,2.353162,2009-04-26 09:08:06,touristParis
48.73022,2.353332,2009-04-26 09:08:08,touristParis
48.730229,2.35352,2009-04-26 09:08:10,touristParis
48.730266,2.353671,2009-04-26 09:08:12,touristParis
48.730305,2.353837,2009-04-26 09:08:14,touristParis
48.730355,2.353984,2009-04-26 09:08:16,touristParis
48.730416,2.35413,2009-04-26 09:08:18,touristParis
48.730478,2.354261,2009-04-26 09:08:20,touristParis
48.730523,2.35442,2009-04-26 09:08:22,touristParis
48.730596,2.354576,2009-04-26 09:08:24,touristParis
48.730663,2.354716,2009-04-26 09:08:26,touristParis
48.730729,2.354859,2009-04-26 09:08:28,touristParis
48.730794,2.354992,2009-04-26 09:08:30,touristParis
48.730857,2.355127,2009-04-26 09:08:32,touristParis
48.730926,2.355287,2009-04-26 09:08:34,touristParis
48.730985,2.355436,2009-04-26 09:08:36,touristParis
48.731019,2.355577,2009-04-26 09:08:38,touristParis
48.731037,2.355735,2009-04-26 09:08:40,touristParis
48.73102,2.355889,2009-04-26 09:08:42,touristParis
48.730972,2.356023,2009-04-26 09:08:44,touristParis
48.730907,2.35613,2009-04-26 09:08:46,touristParis
48.730824,2.356239,2009-04-26 09:08:48,touristParis
48.730768,2.35635,2009-04-26 09:08:50,touristParis
48.730738,2.356512,2009-04-26 09:08:53,touristParis
48.730727,2.35669,2009-04-26 09:08:56,touristParis
48.730759,2.356832,2009-04-26 09:08:59,touristParis
48.730807,2.356979,2009-04-26 09:09:02,touristParis
48.730889,2.357136,2009-04-26 09:09:05,touristParis
48.730976,2.357285,2009-04-26 09:09:08,touristParis
48.731019,2.357408,2009-04-26 09:09:10,touristParis
48.731067,2.357574,2009-04-26 09:09:13,touristParis
48.731117,2.357686,2009-04-26 09:09:15,touristParis
48.731187,2.35783,2009-04-26 09:09:18,touristParis
48.731225,2.357972,2009-04-26 09:09:21,touristParis
48.731272,2.358111,2009-04-26 09:09:24,touristParis
48.731323,2.358229,2009-04-26 09:09:27,touristParis
48.731371,2.358352,2009-04-26 09:09:30,touristParis
48.731421,2.358474,2009-04-26 09:09:33,touristParis
48.731467,2.358593,2009-04-26 09:09:36,touristParis
48.731508,2.358717,2009-04-26 09:09:39,touristParis
48.731538,2.358874,2009-04-26 09:09:42,touristParis
48.731514,2.359037,2009-04-26 09:09:46,touristParis
48.731442,2.359133,2009-04-26 09:09:49,touristParis
48.731355,2.359197,2009-04-26 09:09:52,touristParis
48.73125,2.359243,2009-04-26 09:09:56,touristParis
48.73103,2.359464,2009-04-26 09:14:36,touristParis
48.731008,2.359468,2009-04-26 09:14:41,touristParis
48.731005,2.35946,2009-04-26 09:14:46,touristParis
48.731004,2.35946,2009-04-26 09:14:51,touristParis
48.731003,2.359455,2009-04-26 09:14:56,touristParis
48.731004,2.359455,2009-04-26 09:15:01,touristParis
48.731004,2.359455,2009-04-26 09:15:04,touristParis
48.731006,2.359456,2009-04-26 09:15:06,touristParis
48.731011,2.359469,2009-04-26 09:15:11,touristParis
48.731015,2.359481,2009-04-26 09:15:16,touristParis
48.731017,2.359485,2009-04-26 09:15:21,touristParis
48.731017,2.359485,2009-04-26 09:15:24,touristParis
48.731015,2.359479,2009-04-26 09:15:26,touristParis
48.731014,2.35947,2009-04-26 09:15:31,touristParis
48.731033,2.359394,2009-04-26 09:15:36,touristParis
48.731029,2.359379,2009-04-26 09:15:41,touristParis
48.731025,2.359366,2009-04-26 09:15:46,touristParis
48.731011,2.359352,2009-04-26 09:15:51,touristParis
48.731003,2.359338,2009-04-26 09:15:56,touristParis
48.730999,2.35933,2009-04-26 09:16:01,touristParis
48.730998,2.359325,2009-04-26 09:16:06,touristParis
48.730998,2.359325,2009-04-26 09:16:09,touristParis
48.731,2.359331,2009-04-26 09:16:11,touristParis
48.731026,2.359344,2009-04-26 09:16:16,touristParis
48.730993,2.359382,2009-04-26 09:16:21,touristParis
48.730955,2.359465,2009-04-26 09:16:26,touristParis
48.730941,2.359509,2009-04-26 09:16:31,touristParis
48.730934,2.359571,2009-04-26 09:16:36,touristParis
48.730913,2.359616,2009-04-26 09:16:41,touristParis
48.730912,2.35962,2009-04-26 09:16:46,touristParis
48.730911,2.359619,2009-04-26 09:16:51,touristParis
48.73091,2.359619,2009-04-26 09:16:56,touristParis
48.730908,2.359619,2009-04-26 09:17:01,touristParis
48.730907,2.35962,2009-04-26 09:17:06,touristParis
48.730907,2.35962,2009-04-26 09:17:09,touristParis
48.730905,2.35962,2009-04-26 09:17:11,touristParis
48.730889,2.359717,2009-04-26 09:17:16,touristParis
48.730804,2.359841,2009-04-26 09:17:20,touristParis
48.730668,2.359945,2009-04-26 09:17:22,touristParis
48.730617,2.360082,2009-04-26 09:17:26,touristParis
48.730556,2.36015,2009-04-26 09:17:31,touristParis
48.730531,2.360159,2009-04-26 09:17:36,touristParis
48.730409,2.360228,2009-04-26 09:17:40,touristParis
48.730368,2.360266,2009-04-26 09:17:45,touristParis
48.730285,2.36036,2009-04-26 09:17:49,touristParis
48.730222,2.360468,2009-04-26 09:17:54,touristParis
48.730205,2.360516,2009-04-26 09:17:59,touristParis
48.730205,2.360516,2009-04-26 09:18:02,touristParis
48.730206,2.360523,2009-04-26 09:18:04,touristParis
48.730204,2.360514,2009-04-26 09:18:09,touristParis
48.730164,2.360463,2009-04-26 09:18:14,touristParis
48.730089,2.360399,2009-04-26 09:18:19,touristParis
48.730029,2.360292,2009-04-26 09:18:24,touristParis
48.729997,2.360186,2009-04-26 09:18:29,touristParis
48.729984,2.360074,2009-04-26 09:18:34,touristParis
48.729958,2.359939,2009-04-26 09:18:39,touristParis
48.729894,2.359834,2009-04-26 09:18:44,touristParis
