"animal_id","species","start_time","end_time","stop_days","latitude","longitude","locType","n_stops","meta_stop_id"
"touristParis","human",2009-04-26 09:41:48,2009-04-26 09:42:48,0.000694444444444444,48.7293688666667,2.3599588,"MetaStop",1,"20090426094148_20090426094248_touristParis"
"touristParis","human",2009-04-26 09:50:42,2009-04-26 09:51:52,0.000810185185185185,48.7297027222222,2.36037033333333,"MetaStop",1,"20090426095042_20090426095152_touristParis"
"touristParis","human",2009-04-26 13:19:59,2009-04-26 13:20:59,0.000694444444444444,48.8544321428571,2.34476335714286,"MetaStop",1,"20090426131959_20090426132059_touristParis"
"touristParis","human",2009-04-26 13:24:14,2009-04-26 13:25:19,0.000752314814814815,48.8535494,2.34684573333333,"MetaStop",1,"20090426132414_20090426132519_touristParis"
"touristParis","human",2009-04-26 13:30:54,2009-04-26 13:34:49,0.00271990740740741,48.8534724482759,2.34753420689655,"MetaStop",2,"20090426133054_20090426133449_touristParis"
"touristParis","human",2009-04-26 13:59:03,2009-04-26 14:00:13,0.000810185185185185,48.853272,2.34891188888889,"MetaStop",1,"20090426135903_20090426140013_touristParis"
"touristParis","human",2009-04-26 14:47:50,2009-04-26 14:48:50,0.000694444444444444,48.8520532,2.3512966,"MetaStop",1,"20090426144750_20090426144850_touristParis"
"touristParis","human",2009-04-26 14:48:55,2009-04-26 14:52:20,0.00237268518518519,48.8519693888889,2.35130866666667,"MetaStop",2,"20090426144855_20090426145220_touristParis"
"touristParis","human",2009-04-26 14:53:35,2009-04-26 14:54:35,0.000694444444444444,48.8520822857143,2.35141278571429,"MetaStop",1,"20090426145335_20090426145435_touristParis"
"touristParis","human",2009-04-26 15:30:33,2009-04-26 15:31:33,0.000694444444444444,48.8519552666667,2.35645373333333,"MetaStop",1,"20090426153033_20090426153133_touristParis"
"touristParis","human",2009-04-26 16:24:42,2009-04-26 16:25:42,0.000694444444444444,48.8531874375,2.344245625,"MetaStop",1,"20090426162442_20090426162542_touristParis"
"touristParis","human",2009-04-26 17:25:34,2009-04-26 17:26:34,0.000694444444444444,48.8583738571429,2.29585592857143,"MetaStop",1,"20090426172534_20090426172634_touristParis"
"touristParis","human",2009-04-26 17:35:17,2009-04-26 17:37:27,0.00150462962962963,48.8572777586207,2.29635848275862,"MetaStop",1,"20090426173517_20090426173727_touristParis"
"touristParis","human",2009-04-26 18:05:05,2009-04-26 18:12:00,0.00480324074074074,48.856379,2.29755295454545,"MetaStop",3,"20090426180505_20090426181200_touristParis"
"touristParis","human",2009-04-26 18:13:00,2009-04-26 18:15:10,0.00150462962962963,48.8563483214286,2.2975445,"MetaStop",1,"20090426181300_20090426181510_touristParis"
"touristParis","human",2009-04-26 18:15:15,2009-04-26 18:18:05,0.00196759259259259,48.8563899444444,2.29749061111111,"MetaStop",1,"20090426181515_20090426181805_touristParis"
"touristParis","human",2009-04-26 18:33:07,2009-04-26 18:35:17,0.00150462962962963,48.8606970344828,2.29164344827586,"MetaStop",1,"20090426183307_20090426183517_touristParis"
"touristParis","human",2009-04-26 18:45:12,2009-04-26 18:48:37,0.00237268518518519,48.8621663111111,2.28908148888889,"MetaStop",1,"20090426184512_20090426184837_touristParis"
"touristParis","human",2009-04-26 19:00:07,2009-04-26 19:11:27,0.00787037037037037,48.8619825109489,2.2888160729927,"MetaStop",1,"20090426190007_20090426191127_touristParis"
